id,POA_CODE_2016,postcode,region,SSC_CODE_2016,SSC_NAME_2016,state,Dwellings,Population,AREA_SQKM,MB_COUNT,suburb,Town Postcode combo,POA crosses state border,long,lat,regionName,brandName,serviceName
location:5641:cortlinye,5641,5641,eyre,40312,Cortlinye,South Australia,27,55,311.0234,1,Cortlinye,Cortlinye 5641,,136.3394819,-33.03678481,Eyre Peninsula ,ABC Eyre Peninsula ,local_eyre
location:2546:corunna,2546,2546,southeastnsw,11085,Corunna,New South Wales,38,62,11.54,10,Corunna,Corunna 2546,,150.1072675,-36.28151108,South East NSW ,ABC South East NSW ,local_southeastnsw
location:5715:corunna-station,5715,5715,northandwest,40313,Corunna Station,South Australia,7,24,5039.866,1,Corunna Station,Corunna Station 5715,,136.9483877,-32.28368126,North and West SA ,ABC North and West SA ,local_northandwest
location:3249:corunnun,3249,3249,southwestvic,20645,Corunnun,Victoria,48,115,16.6076,2,Corunnun,Corunnun 3249,,143.4887433,-38.28246013,South West Victoria ,ABC South West Victoria ,local_southwestvic
location:3631:cosgrove,3631,3631,shepparton,20646,Cosgrove (Vic.),Victoria,26,54,48.443,1,Cosgrove,Cosgrove 3631,,145.6271605,-36.34729354,Shepparton,ABC Shepparton,local_shepparton
location:4818:cosgrove,4818,4818,northqld,30734,Cosgrove (Qld),Queensland,137,291,3.6412,5,Cosgrove,Cosgrove 4818,,146.7141015,-19.27140978,North Queensland ,ABC North Queensland ,local_northqld
location:3631:cosgrove south,3631,3631,shepparton,20647,Cosgrove South,Victoria,34,58,51.9368,1,Cosgrove South,Cosgrove South 3631,,145.6333234,-36.41035343,Shepparton,ABC Shepparton,local_shepparton
location:6440:cosmo-newbery,6440,6440,goldfields,50340,Cosmo Newbery,Western Australia,30,62,12245.8036,2,Cosmo Newbery,Cosmo Newbery 6440,,123.5097062,-28.10273523,Goldfields,ABC Goldfields,local_goldfields
location:6720:cossack,6720,6720,pilbara,50341,Cossack (WA),Western Australia,0,0,21.1376,13,Cossack,Cossack 6720,,117.1745711,-20.6574148,Pilbara ,ABC Pilbara ,local_northwestwa
location:850:cossack,850,850,katherine,70065,Cossack (NT),Northern Territory,627,1207,257.4673,13,Cossack,Cossack 850,,132.174647,-14.4554759,Katherine,ABC Katherine,local_katherine
location:872:costello,872,872,alicesprings,70066,Costello,Northern Territory,8,12,39159.5883,1,Costello,Costello 872,,136.7749883,-21.00056639,Alice Springs,ABC Alice Springs,local_alicesprings
location:3523:costerfield,3523,3523,centralvic,20648,Costerfield,Victoria,50,77,44.6281,4,Costerfield,Costerfield 3523,,144.7999796,-36.87346144,Central Victoria,ABC Central Victoria,local_centralvic
location:4745:cotherstone,4745,4745,capricornia,30735,Cotherstone,Queensland,0,0,173.5721,1,Cotherstone,Cotherstone 4745,,148.2811312,-22.78657344,Capricornia,ABC Capricornia,local_capricornia
location:3465:cotswold,3465,3465,ballarat,20649,Cotswold,Victoria,10,12,45.4468,3,Cotswold,Cotswold 3465,,143.8936209,-37.14410131,Ballarat,ABC Ballarat,local_ballarat
location:4350:cotswold-hills,4350,4350,southqld,30736,Cotswold Hills,Queensland,468,1275,5.612,15,Cotswold Hills,Cotswold Hills 4350,,151.8951526,-27.52240555,Southern Queensland,ABC Southern Queensland,local_southqld
location:2084:cottage-point,2084,2084,sydney,11086,Cottage Point,New South Wales,56,98,0.4048,1,Cottage Point,Cottage Point 2084,,151.2036364,-33.6196839,Sydney,ABC Radio Sydney,local_sydney
location:6011:cottesloe,6011,6011,perth,50342,Cottesloe,Western Australia,3537,7363,3.7511,107,Cottesloe,Cottesloe 6011,,115.7581547,-31.99425985,Perth,ABC Radio Perth,local_perth
location:3099:cottles-bridge,3099,3099,melbourne,20650,Cottles Bridge,Victoria,224,602,18.4576,6,Cottles Bridge,Cottles Bridge 3099,,145.2231985,-37.60709344,Melbourne,ABC Radio Melbourne,local_melbourne
location:4375:cottonvale,4375,4375,southqld,11087,Cottonvale (NSW),New South Wales,13,24,9.8214,1,Cottonvale,Cottonvale 4375,QLD/NSW use QLD ABCLOCAL,151.9718484,-28.52433683,Southern Queensland,ABC Southern Queensland,local_southqld
location:4375:cottonvale,4375,4375,southqld,30737,Cottonvale (Qld),Queensland,75,149,10.9504,2,Cottonvale,Cottonvale 4375,QLD/NSW use QLD ABCLOCAL,151.9402591,-28.52029069,Southern Queensland,ABC Southern Queensland,local_southqld
location:2474:cougal,2474,2474,northcoast,11088,Cougal,New South Wales,25,38,35.8089,3,Cougal,Cougal 2474,,152.9814592,-28.35634385,North Coast ,ABC North Coast ,local_northcoast
location:4310:coulson,4310,4310,brisbane,30738,Coulson,Queensland,71,193,32.7444,2,Coulson,Coulson 4310,,152.7392605,-27.96245822,Brisbane,ABC Radio Brisbane,local_brisbane
location:5607:coulta,5607,5607,eyre,40314,Coulta,South Australia,84,195,334.5634,2,Coulta,Coulta 5607,,135.4550741,-34.40537462,Eyre Peninsula ,ABC Eyre Peninsula ,local_eyre
location:2630:countegany,2630,2630,southeastnsw,11089,Countegany,New South Wales,24,34,170.0752,2,Countegany,Countegany 2630,,149.4873613,-36.18181609,South East NSW ,ABC South East NSW ,local_southeastnsw
location:2653:courabyra,2653,2653,riverina,11090,Courabyra,New South Wales,38,98,49.4521,3,Courabyra,Courabyra 2653,,147.988347,-35.70243793,Riverina,ABC Riverina,local_riverina
location:2390:couradda,2390,2390,newengland,11091,Couradda,New South Wales,21,54,162.8493,3,Couradda,Couradda 2390,,149.9803081,-30.0394613,New England North West ,ABC New England North West ,local_newengland
location:2720:couragago,2720,2720,riverina,11092,Couragago,New South Wales,3,5,24.2552,1,Couragago,Couragago 2720,,148.492687,-35.1064311,Riverina,ABC Riverina,local_riverina
location:2571:couridjah,2571,2571,sydney,11093,Couridjah,New South Wales,99,304,2.8149,3,Couridjah,Couridjah 2571,,150.5546764,-34.23645854,Sydney,ABC Radio Sydney,local_sydney
location:6288:courtenay,6288,6288,southwestwa,50343,Courtenay,Western Australia,21,50,65.2874,2,Courtenay,Courtenay 6288,,115.2722205,-34.18496376,South West WA ,ABC South West WA ,local_southwestwa
location:7330:couta-rocks,7330,7330,northtas,60129,Couta Rocks,Tasmania,14,7,12.2736,27,Couta Rocks,Couta Rocks 7330,,144.6797161,-41.18097286,Northern Tasmania,ABC Northern Tasmania,local_northtas
location:2460:coutts-crossing,2460,2460,northcoast,11094,Coutts Crossing,New South Wales,414,1067,59.1844,12,Coutts Crossing,Coutts Crossing 2460,,152.8957273,-29.85808574,North Coast ,ABC North Coast ,local_northcoast
location:4613:coverty,4613,4613,southqld,30739,Coverty,Queensland,83,166,88.458,3,Coverty,Coverty 4613,,151.4760153,-26.27900079,Southern Queensland,ABC Southern Queensland,local_southqld
location:4873:cow-bay,4873,4873,farnorth,30740,Cow Bay,Queensland,157,186,25.5546,20,Cow Bay,Cow Bay 4873,,145.4354926,-16.22345473,Far North Queensland ,ABC Far North Queensland ,local_farnorth
location:2795:cow-flat,2795,2795,centralwest,11095,Cow Flat,New South Wales,26,65,36.7019,2,Cow Flat,Cow Flat 2795,,149.5145142,-33.58021341,Central West,ABC Central West,local_centralwest
location:3862:cowa,3862,3862,gippsland,20651,Cowa,Victoria,0,0,103.4444,1,Cowa,Cowa 3862,,147.1831996,-37.38748034,Gippsland,ABC Gippsland,local_gippsland
location:2652:cowabbie,2652,2652,riverina,11096,Cowabbie,New South Wales,7,17,125.7814,1,Cowabbie,Cowabbie 2652,,146.9538123,-34.58478192,Riverina,ABC Riverina,local_riverina
location:6336:cowalellup,6336,6336,greatsouthern,50344,Cowalellup,Western Australia,20,25,331.4382,2,Cowalellup,Cowalellup 6336,,118.5749312,-34.07248213,Great Southern,ABC Great Southern,local_greatsouthern
